"id","nome_bairro","nome_regiao_regioes_id"
1374,Vila Adelina,ANHANDUIZINHO
1375,Vila Maciel ,ANHANDUIZINHO
1376,Universitário C,ANHANDUIZINHO
1377,Vila Jardim Pioneiros,ANHANDUIZINHO
1378,Vila Santa Branca,ANHANDUIZINHO
1379,Vila Santa Branca  ,ANHANDUIZINHO
1380,Jardim Santa Úrsula,ANHANDUIZINHO
1381,Recanto das Andorinhas,ANHANDUIZINHO
1382,Jardim das Mansões Universitárias,ANHANDUIZINHO
1383,Conjunto Habitacional Jardim Anápolis,ANHANDUIZINHO
1384,Jardim Rubiácea,ANHANDUIZINHO
1385,Jardim Jane,ANHANDUIZINHO
1386,Jardim Botafogo,ANHANDUIZINHO
1387,Jardim Morenão,ANHANDUIZINHO
1388,Jardim Vicentino,ANHANDUIZINHO
1389,Jardim Roselândia,ANHANDUIZINHO
1390,Residencial Botafogo,ANHANDUIZINHO
1391,Parque Residencial Lisboas,ANHANDUIZINHO
1392,Jardim Botânico,ANHANDUIZINHO
1393,Jardim Botânico II,ANHANDUIZINHO
1394,Jardim Agulhas Negras,ANHANDUIZINHO
1395,Porto Galo,ANHANDUIZINHO
1396,Residencial Geraldo Correa da Silva,ANHANDUIZINHO
1397,Alves Pereira,ANHANDUIZINHO
1398,Vila Alves Pereira,ANHANDUIZINHO
1399,Universitário D,ANHANDUIZINHO
1400,Jardim Monumento,ANHANDUIZINHO
1401,Vila Antunes,ANHANDUIZINHO
1402,Parque do Trabalhador,ANHANDUIZINHO
1403,Residencial João Scarano,ANHANDUIZINHO
1404,Jardim Colibri,ANHANDUIZINHO
1405,Jardim Colibri II,ANHANDUIZINHO
1406,Núcleo Habitacional Universitárias I,ANHANDUIZINHO
1407,Núcleo Habitacional Universitárias II,ANHANDUIZINHO
1408,Jardim Macapá,ANHANDUIZINHO
1409,Loteamento Municipal Alan Soares,ANHANDUIZINHO
1410,Núcleo Colibri II,ANHANDUIZINHO
1411,Núcleo Alves Pereira,ANHANDUIZINHO
1412,Jardim Nashville,ANHANDUIZINHO
1413,Vila Clélia,ANHANDUIZINHO
1414,Loteamento Porto Seguro,ANHANDUIZINHO
1415,Residencial Ilhéus,ANHANDUIZINHO
1416,Cidade Nova,ANHANDUIZINHO
1417,Centenário,ANHANDUIZINHO
1418,Jardim Centenário,ANHANDUIZINHO
1419,Granja São Luiz ,ANHANDUIZINHO
1420,Jardim Monte Alegre,ANHANDUIZINHO
1421,Desmembramento Carlinda Pereira Contar,ANHANDUIZINHO
1422,Vila Nogueira,ANHANDUIZINHO
1423,Vila Amapá,ANHANDUIZINHO
1424,Vila Aimoré,ANHANDUIZINHO
1425,Vila Aimoré II,ANHANDUIZINHO
1426,Parque Residencial Iracy Coelho Netto,ANHANDUIZINHO
1427,Parque Residencial Iracy Coelho Netto II,ANHANDUIZINHO
1428,Parque Residencial Iracy Coelho Netto III,ANHANDUIZINHO
1429,Núcleo Centenário,ANHANDUIZINHO
1430,Núcleo Vila Nogueira,ANHANDUIZINHO
1431,Jardim Pênfigo,ANHANDUIZINHO
1432,Residencial Vila Bela,ANHANDUIZINHO
1433,Residencial Ouro Preto,ANHANDUIZINHO
1434,Jardim Manaíra,ANHANDUIZINHO
1435,Jardim Monterey,ANHANDUIZINHO
1436,Jardim Radialista,ANHANDUIZINHO
1437,Loteamento Residencial Cedrinho,ANHANDUIZINHO
1438,Jardim das Princesas I,ANHANDUIZINHO
1439,Jardim das Princesas II,ANHANDUIZINHO
1440,Vila Áurea,ANHANDUIZINHO
1441,Lageado,ANHANDUIZINHO
1442,Parque do Lageado,ANHANDUIZINHO
1443,Loteamento Municipal Dom Antônio Barbosa,ANHANDUIZINHO
1444,Parque do Sol,ANHANDUIZINHO
1445,Jardim Colorado,ANHANDUIZINHO
1446,Residencial José Teruel Filho,ANHANDUIZINHO
1447,Parque dos Sabiás,ANHANDUIZINHO
1448,Los Angeles,ANHANDUIZINHO
1449,Jardim Los Angeles,ANHANDUIZINHO
1450,Jardim Sumatra,ANHANDUIZINHO
1451,Jardim Morada do Sol,ANHANDUIZINHO
1452,Jardim Uirapuru,ANHANDUIZINHO
1453,Loteamento Vespasiano Martins,ANHANDUIZINHO
1454,Residencial Terra Morena,ANHANDUIZINHO
1455,Centro-Oeste,ANHANDUIZINHO
1456,Jardim Centro Oeste,ANHANDUIZINHO
1457,Jardim Marajoara,ANHANDUIZINHO
1458,Jardim Bálsamo,ANHANDUIZINHO
1459,Jardim Campo Nobre,ANHANDUIZINHO
1460,Jardim das Macaúbas,ANHANDUIZINHO
1461,Jardim das Meninas,ANHANDUIZINHO
1462,Loteamento Municipal Brandão,ANHANDUIZINHO
1463,Núcleo Jardim das Macaúbas,ANHANDUIZINHO
1464,Jardim Canguru,ANHANDUIZINHO
1465,Jardim Paulo Coelho Machado,ANHANDUIZINHO
1466,Parque Novo Século,ANHANDUIZINHO
1467,Jardim Mário Covas,ANHANDUIZINHO
1468,Varandas do Campo,ANHANDUIZINHO
1469,Autonomista,PROSA
1470,Taquari,PROSA
1471,Loteamento Petit Park,PROSA
1472,Royal Park,PROSA
1473,de Andrade,PROSA
1474,Carolina,PROSA
1475,Municipal Guaicurus,PROSA
1476,Municipal Paulo VI,PROSA
1477,Nazaré,PROSA
1478,Dalva III,PROSA
1479,da Esperança,PROSA
1480,Jardim Autonomista,PROSA
1481,Vila Cacique,PROSA
1482,Coophabanco,PROSA
1483,Chácara Cachoeira,PROSA
1484,Residencial Itacolomi,PROSA
1485,Jardim Marabá,PROSA
1486,Loteamento Municipal Verde Brasil,PROSA
1487,Mata do Jacinto,PROSA
1488,Favela do Limão,PROSA
1489,Loteamento Abaeté,PROSA
1490,Taquaral Bosque,PROSA
1491,Beirute Residence Park,PROSA
1492,Jardim Autonomista II,PROSA
1493,Vila Pagé,PROSA
1494,Vila Boa Esperança,PROSA
1495,Tropical Park,PROSA
1496,Loteamento Municipal Joaquim Euzébio,PROSA
1497,Núcleo Marabá,PROSA
1498,Conjunto Mata do Jacinto,PROSA
1499,Loteamento Municipal Ceasa,PROSA
1500,Loteamento Sóter,PROSA
1501,Veraneio,PROSA
1502,Bosque da Esperança II,PROSA
1503,Jardim Autonomista III,PROSA
1504,Jardim Vitrine,PROSA
1505,Coophafé,PROSA
1506,Chácara Cachoeira II,PROSA
1507,Loteamento Residencial Via Park,PROSA
1508,Loteamento,PROSA
1509,Carandá Bosque,PROSA
1510,Loteamento Municipal,PROSA
1511,Novos Estados,PROSA
1512,Jardim Veraneio,PROSA
1513,Chácara dos Poderes,PROSA
1514,Jardim Giocondo Orsi,PROSA
1515,Vila Orsi,PROSA
1516,Santa Fé,PROSA
1517,Cachoeirinha,PROSA
1518,Residencial Via Park Itália,PROSA
1519,Jardim Montevidéu,PROSA
1520,Vila Futurista,PROSA
1521,Jardim Giocondo Orsi II,PROSA
1522,Vila Cruzeiro do Sul,PROSA
1523,Jatiúca Park,PROSA
1524,Margarida,PROSA
1525,Conjunto Residencial Novo Amazonas,PROSA
1526,Vila Danúbio Azul,PROSA
1527,Vila Monte Carlo,PROSA
1528,Vila Santos Gomes,PROSA
1529,Vila Miguel Couto,PROSA
1530,Vila Margarida,PROSA
1531,Conjunto Residencial Nova Bahia,PROSA
1532,Jardim Tayana,PROSA
1533,Jardim Pinheiros,PROSA
1534,Vila Rica,PROSA
